anime_id,japanese_title,aired,image_url
9735,銀魂 新訳紅桜篇,"Dec 15, 2010",https://cdn.myanimelist.net/images/anime/12/26966.jpg
23847,やはり俺の青春ラブコメはまちがっている。続,"Apr 3, 2015 to Jun 26, 2015",https://cdn.myanimelist.net/images/anime/11/75376.jpg
11977,劇場版 魔法少女まどか☆マギカ 始まりの物語,"Oct 6, 2012",https://cdn.myanimelist.net/images/anime/6/42331.jpg
6,トライガン,"Apr 1, 1998 to Sep 30, 1998",https://cdn.myanimelist.net/images/anime/7/20310.jpg
1519,BLACK LAGOON The Second Barrage,"Oct 3, 2006 to Dec 19, 2006",https://cdn.myanimelist.net/images/anime/3/83748.jpg
11123,世界一初恋 2,"Oct 8, 2011 to Dec 24, 2011",https://cdn.myanimelist.net/images/anime/8/34871.jpg
33161,"やはり俺の青春ラブコメはまちがっている. 続 きっと, 女の子はお砂糖とスパイスと素敵な何かでできている。","Oct 27, 2016",https://cdn.myanimelist.net/images/anime/13/84052.jpg
2167,CLANNAD,"Oct 5, 2007 to Mar 28, 2008",https://cdn.myanimelist.net/images/anime/1804/95033.jpg
5681,サマーウォーズ,"Aug 1, 2009",https://cdn.myanimelist.net/images/anime/1593/116751.jpg
962,ARIA The NATURAL,"Apr 3, 2006 to Sep 25, 2006",https://cdn.myanimelist.net/images/anime/2/77621.jpg
16706,神のみぞ知るセカイ 女神篇,"Jul 9, 2013 to Sep 24, 2013",https://cdn.myanimelist.net/images/anime/6/51949.jpg
3701,カイバ,"Apr 11, 2008 to Jul 25, 2008",https://cdn.myanimelist.net/images/anime/7/13193.jpg
6467,名探偵コナン 天空の難破船,"Apr 17, 2010",https://cdn.myanimelist.net/images/anime/7/22312.jpg
33255,斉木楠雄のΨ難,"Jul 4, 2016 to Dec 26, 2016",https://cdn.myanimelist.net/images/anime/11/80167.jpg
22507,頭文字 D Final Stage,"May 16, 2014 to Jun 22, 2014",https://cdn.myanimelist.net/images/anime/1404/101364.jpg
3901,バッカーノ!,"Feb 27, 2008 to May 28, 2008",https://cdn.myanimelist.net/images/anime/7/9129.jpg
19123,ワンピース エピソード・オブ・メリー ～もうひとりの仲間の物語～,"Aug 24, 2013",https://cdn.myanimelist.net/images/anime/9/61015.jpg
4722,スキップ・ビート！,"Oct 6, 2008 to Mar 30, 2009",https://cdn.myanimelist.net/images/anime/11/84022.jpg
10271,逆境無頼カイジ 破戒録篇,"Apr 6, 2011 to Sep 28, 2011",https://cdn.myanimelist.net/images/anime/10/30599.jpg
25681,神様はじめました◎,"Jan 6, 2015 to Mar 31, 2015",https://cdn.myanimelist.net/images/anime/8/69187.jpg
265,はじめの一歩 間柴vs木村 死刑執行,"Sep 5, 2003",https://cdn.myanimelist.net/images/anime/4/64737.jpg
372,劇場版 カードキャプターさくら 封印されたカード,"Jul 15, 2000",https://cdn.myanimelist.net/images/anime/1652/90326.jpg
24277,弱虫ペダル GRANDE ROAD,"Oct 7, 2014 to Mar 31, 2015",https://cdn.myanimelist.net/images/anime/12/67799.jpg
512,魔女の宅急便,"Jul 29, 1989",https://cdn.myanimelist.net/images/anime/10/75916.jpg
239,巌窟王,"Oct 6, 2004 to Mar 30, 2005",https://cdn.myanimelist.net/images/anime/10/2235.jpg
4477,のだめカンタービレ 巴里編,"Oct 10, 2008 to Dec 19, 2008",https://cdn.myanimelist.net/images/anime/4/11918.jpg
31174,おそ松さん,"Oct 6, 2015 to Mar 29, 2016",https://cdn.myanimelist.net/images/anime/7/76540.jpg
5365,つみきのいえ,"Jun 10, 2008",https://cdn.myanimelist.net/images/anime/1063/117013.jpg
15323,ワンピースエピソード・オブ・ナミ～航海士の涙と仲間の絆～,"Aug 25, 2012",https://cdn.myanimelist.net/images/anime/5/41415.jpg
23327,スペース☆ダンディ 第2シリーズ,"Jul 6, 2014 to Sep 25, 2014",https://cdn.myanimelist.net/images/anime/3/64451.jpg
3702,デトロイト・メタル・シティ,"Aug 8, 2008 to Oct 28, 2008",https://cdn.myanimelist.net/images/anime/3/9853.jpg
7465,イヴの時間,"Mar 6, 2010",https://cdn.myanimelist.net/images/anime/9/27711.jpg
3167,イヴの時間,"Aug 1, 2008 to Sep 18, 2009",https://cdn.myanimelist.net/images/anime/13/19480.jpg
7054,会長はメイド様!,"Apr 2, 2010 to Sep 24, 2010",https://cdn.myanimelist.net/images/anime/6/25254.jpg
1257,聖闘士星矢 冥王ハーデス十二宮編,"Nov 9, 2002 to Jul 25, 2003",https://cdn.myanimelist.net/images/anime/1182/122016.jpg
1364,名探偵コナン 天国へのカウントダウン,"Apr 21, 2001",https://cdn.myanimelist.net/images/anime/1144/92654.jpg
23283,残響のテロル,"Jul 11, 2014 to Sep 26, 2014",https://cdn.myanimelist.net/images/anime/1417/117422.jpg
2025,Darker than BLACK -黒の契約者-,"Apr 6, 2007 to Sep 28, 2007",https://cdn.myanimelist.net/images/anime/5/19570.jpg
18689,ダイヤのA[エース],"Oct 6, 2013 to Mar 29, 2015",https://cdn.myanimelist.net/images/anime/5/54235.jpg
22043,FAIRY TAIL（フェアリーテイル）,"Apr 5, 2014 to Mar 26, 2016",https://cdn.myanimelist.net/images/anime/3/60551.jpg
20899,ジョジョの奇妙な冒険 スターダストクルセイダース,"Apr 5, 2014 to Sep 13, 2014",https://cdn.myanimelist.net/images/anime/11/55267.jpg
31988,響け！ユーフォニアム2,"Oct 6, 2016 to Dec 29, 2016",https://cdn.myanimelist.net/images/anime/10/81155.jpg
1453,めぞん一刻,"Mar 26, 1986 to Mar 2, 1988",https://cdn.myanimelist.net/images/anime/6/17576.jpg
1559,史上最強の弟子 ケンイチ,"Oct 8, 2006 to Sep 30, 2007",https://cdn.myanimelist.net/images/anime/9/75515.jpg
23623,のんのんびより りぴーと,"Jul 7, 2015 to Sep 22, 2015",https://cdn.myanimelist.net/images/anime/9/75105.jpg
23289,月刊少女野崎くん,"Jul 7, 2014 to Sep 22, 2014",https://cdn.myanimelist.net/images/anime/5/66083.jpg
18,頭文字〈イニシャル〉D FOURTH STAGE,"Apr 17, 2004 to Feb 18, 2006",https://cdn.myanimelist.net/images/anime/9/10521.jpg
235,名探偵コナン,"Jan 8, 1996 to ?",https://cdn.myanimelist.net/images/anime/7/75199.jpg
12031,キングダム,"Jun 4, 2012 to Feb 25, 2013",https://cdn.myanimelist.net/images/anime/13/39511.jpg
4814,純情ロマンチカ2(に),"Oct 12, 2008 to Dec 28, 2008",https://cdn.myanimelist.net/images/anime/6/38417.jpg
8129,海月姫,"Oct 15, 2010 to Dec 31, 2010",https://cdn.myanimelist.net/images/anime/3/24865.jpg
16662,風立ちぬ,"Jul 20, 2013",https://cdn.myanimelist.net/images/anime/8/52353.jpg
14513,マギ The labyrinth of magic,"Oct 7, 2012 to Mar 31, 2013",https://cdn.myanimelist.net/images/anime/11/42773.jpg
2581,機動戦士ガンダム00,"Oct 6, 2007 to Mar 29, 2008",https://cdn.myanimelist.net/images/anime/3/13200.jpg
1382,勇者王ガオガイガーFINAL,"Jan 21, 2000 to Mar 21, 2003",https://cdn.myanimelist.net/images/anime/1187/132740.jpg
30015,ReLIFE,"Jul 2, 2016 to Sep 24, 2016",https://cdn.myanimelist.net/images/anime/3/82149.jpg
1827,精霊の守り人,"Apr 7, 2007 to Sep 29, 2007",https://cdn.myanimelist.net/images/anime/4/50337.jpg
25013,暁のヨナ,"Oct 7, 2014 to Mar 24, 2015",https://cdn.myanimelist.net/images/anime/9/64225.jpg
6171,聖闘士星矢 THE LOST CANVAS 冥王神話,"Jun 24, 2009 to Apr 21, 2010",https://cdn.myanimelist.net/images/anime/8/75546.jpg
1367,名探偵コナン 銀翼の奇術師[マジシャン],"Apr 17, 2004",https://cdn.myanimelist.net/images/anime/2/20982.jpg
27833,デュラララ!!×2 結,"Jan 9, 2016 to Mar 26, 2016",https://cdn.myanimelist.net/images/anime/6/77838.jpg
12069,はじめの一歩 THE FIGHTING! ボクサーの拳,"Mar 21, 2003",https://cdn.myanimelist.net/images/anime/2/84664.jpg
185,頭文字〈イニシャル〉D,"Apr 19, 1998 to Dec 6, 1998",https://cdn.myanimelist.net/images/anime/1384/127972.jpg
26213,Free! -Eternal Summer- 禁断のオールハード！,"Mar 18, 2015",https://cdn.myanimelist.net/images/anime/6/73125.jpg
1974,ガラスの仮面 (2005),"Apr 6, 2005 to Mar 29, 2006",https://cdn.myanimelist.net/images/anime/1/2043.jpg
8425,GOSICK -ゴシック-,"Jan 8, 2011 to Jul 2, 2011",https://cdn.myanimelist.net/images/anime/11/27906.jpg
18679,キルラキル,"Oct 4, 2013 to Mar 28, 2014",https://cdn.myanimelist.net/images/anime/1464/111943.jpg
2034,ラブ★コン,"Apr 7, 2007 to Sep 29, 2007",https://cdn.myanimelist.net/images/anime/11/75563.jpg
437,パーフェクトブルー,"Feb 28, 1998",https://cdn.myanimelist.net/images/anime/1254/134212.jpg
721,プリンセスチュチュ,"Aug 16, 2002 to May 23, 2003",https://cdn.myanimelist.net/images/anime/1145/93646.jpg
12477,サカサマのパテマ,"Nov 9, 2013",https://cdn.myanimelist.net/images/anime/12/52415.jpg
4938,ツバサ 春雷記,"Mar 17, 2009 to May 15, 2009",https://cdn.myanimelist.net/images/anime/9/33841.jpg
6702,FAIRY TAIL（フェアリーテイル）,"Oct 12, 2009 to Mar 30, 2013",https://cdn.myanimelist.net/images/anime/5/18179.jpg
440,少女革命ウテナ,"Apr 2, 1997 to Dec 24, 1997",https://cdn.myanimelist.net/images/anime/1078/95285.jpg
2402,あしたのジョー,"Apr 1, 1970 to Sep 29, 1971",https://cdn.myanimelist.net/images/anime/5/64671.jpg
1566,攻殻機動隊 STAND ALONE COMPLEX Solid State Society,"Sep 1, 2006",https://cdn.myanimelist.net/images/anime/4/29816.jpg
31741,マギ シンドバッドの冒険,"Apr 16, 2016 to Jul 2, 2016",https://cdn.myanimelist.net/images/anime/10/78783.jpg
4107,劇場版 天元突破グレンラガン 紅蓮篇,"Sep 6, 2008",https://cdn.myanimelist.net/images/anime/1270/115752.jpg
72,フルメタル・パニック? ふもっふ,"Aug 26, 2003 to Nov 18, 2003",https://cdn.myanimelist.net/images/anime/4/75260.jpg
1506,名探偵コナン　探偵たちの鎮魂歌[レクイエム],"Apr 15, 2006",https://cdn.myanimelist.net/images/anime/1919/94322.jpg
2759,ヱヴァンゲリヲン新劇場版:序,"Sep 1, 2007",https://cdn.myanimelist.net/images/anime/7/74975.jpg
3783,劇場版 空の境界 the Garden of sinners 第三章『痛覚残留』,"Feb 9, 2008",https://cdn.myanimelist.net/images/anime/4/21735.jpg
3016,銀河英雄伝説外伝　新たなる戦いの序曲[オーヴァチュア],"Dec 18, 1993",https://cdn.myanimelist.net/images/anime/8/22498.jpg
3927,機動戦士ガンダム00 セカンドシーズン,"Oct 5, 2008 to Mar 29, 2009",https://cdn.myanimelist.net/images/anime/9/12782.jpg
24833,暗殺教室,"Jan 10, 2015 to Jun 20, 2015",https://cdn.myanimelist.net/images/anime/5/75639.jpg
28025,憑物語,"Dec 31, 2014",https://cdn.myanimelist.net/images/anime/6/68259.jpg
11597,偽物語,"Jan 8, 2012 to Mar 18, 2012",https://cdn.myanimelist.net/images/anime/1044/103654.jpg
